dealT,url
"
                BOGO
[<Selector xpath='descendant-or-self::text()' data='\r\n                Produce\r\n            '>],/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232537
[<Selector xpath='descendant-or-self::text()' data='\r\n                Seafood\r\n            '>],/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232538
[<Selector xpath='descendant-or-self::text()' data='\r\n                New\r\n            '>],/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
dealType,food,link
$3 OFF WITH MFR DIGITAL COUPON,Any 1 Degree Unlimited Antiperspirant Deodorant or Dry Spray,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
2 FOR $9,Jonny Pops,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
$8.99,Method Deodorant,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
2 FOR $7,Highkey Cookies or Crackers,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
$2.99,Popchips,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
5 FOR $5,A-Game Hydration Drink,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
$2 OFF WITH MFR DIGITAL COUPON,Any 1 Poise or Depend Overnight Protection,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
43.99,Deleón Blanco Tequila,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
$4 OFF,"Any 2: Aleve or Aleve PM 80–270-ct., AleveX 2.5–3-oz, Bayer 200–300-ct. or Midol 40-ct.",https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
$5 OFF,"Any 1 Allegra 12–70-ct., Allegra Kids 4-oz or 12-ct., Xyzal 35–80-ct. or Nasacort .37–.57-oz",https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
$10.79,Breathe Right,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
5.00 Off,Claritin-D Allergy & Congestion Tablets,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
$13.49,Flonase,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
$4 OFF,"Any 2: One A Day Vitamins 30–200-ct., Flintstones Vitamins 60–180-ct. or Citracal 70–200-ct.",https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
28.99,Dymatize ISO 100 Protein Powder,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
$2.50 OFF,Any 2: Polident 40–84-ct. or Poligrip 2.2–2.4-oz,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
$4 OFF WITH MFR DIGITAL COUPON,Any 1 Prevacid,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
$2 OFF WITH MFR DIGITAL COUPON,Any 1 Prilosec OTC,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
4.00 Off,Zyrtec Allergy Tablets,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
Buy 3 Get 3.00 Off,Febreze Air or Fabric Refresher,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232531
3/9.00,Whiskas Temptations Treats for Cats,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232535
Buy 1 Get 1 FREE*,Healthy Hide Good 'n' Fun Dog Treats,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232535
Buy 1 Get 1 FREE*,Purina Tidy Cats Cat Litter,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232535
7.99 lb,White Shrimp,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232538
11.99 lb,Peeled & Deveined White Shrimp,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232538
8.99 lb,Catfish Fillets,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232538
12.99 lb,Salmon Fillets,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232538
5.99,Salmon Select Cuts,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232538
5.99,Lobster Tails,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232538
5.99,Publix Premium Alaskan Panko Pollock Fillets,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232538
9.99 lb,GreenWise Patagonian Scallops†,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232538
